rank,movie_title,movie_year,normalized_title,scene_name,normalized_scene_id,timestamp,score,mentions,num_sources,description
116,Jumanji: Welcome to the Jungle,2017,jumanji-welcome-to-the-jungle,Fridge's death by cake,jumanji-welcome-to-the-jungle--fridge-death-by-cake,00:48:50,2.086,1,1,OP: same kind of audio drop effect when Fridge eats cake and dies.
117,Spider-Man 2,2004,spider-man-2-2004,Bank robbery — coins thrown,spider-man-2-2004--bank-robbery,00:48:40,2.086,1,1,OP: definite height effects with all the coins being thrown around by Doc Ock.
118,Spider-Man 2,2004,spider-man-2-2004,Big reactor powerup and final battle,spider-man-2-2004--reactor-final-battle,01:45:20,2.086,1,1,"OP: not as much height effect, but the overall mix is still really great."
119,A Quiet Place Part II,2021,a-quiet-place-part-ii,An Abandoned Factory,a-quiet-place-part-ii--abandoned-factory,00:19:20,2.000,1,1,Relies on absence of sound as much as presence: subtle creeping creature cues placed terrifyingly precisely in the surround channels.
120,Across the Universe,2007,across-the-universe,Let It Be,across-the-universe--let-it-be,,2.000,1,1,'Let It Be' sequence flashes between the 1967 Detroit riots and the Vietnam War; gospel choir vocals over the funerals of two killed characters — hauntingly plaintive.
121,Bram Stoker's Dracula,1992,bram-stokers-dracula,Meet the Master,bram-stokers-dracula--meet-the-master,00:10:00,2.000,1,1,"Start of chapter 2 through Harker's arrival: fly buzzes circumferentially and overhead, asylum moans emanate from all walls, wolves stalk the coach with thunder cracking overhead, then atmospheric drips, rats and wailing souls fill Dracula's castle."
122,Dune: Part Two,2024,dune-part-two,A Battle at Dawn,dune-part-two--battle-at-dawn,01:36:30,2.000,1,1,"Eerie sand groan and subtle desert wind build a massive sense of space; chanting rises from all angles before erupting into a dynamic, deep-bass action set piece."
123,Ender's Game,2013,enders-game,Dragons vs. Salamanders & Leopards,enders-game--dragons-vs-salamanders-and-leopards,,2.000,1,1,Zero-G training exercise (Space-Age 'capture the flag'): things happen in all directions and the disorientation reads through a good system. Family-friendly action with no blood.
124,First Man,2018,first-man,Capsule flight,first-man--capsule-flight,,2.000,1,1,"Gosling in a tight capsule re-entering Earth's atmosphere: claustrophobic clatters and beeps surround the viewer, intensified by Atmos."
125,Insurgent,2015,insurgent-2015,Amity Sim — part 1 (Tris vs Jeanine),insurgent-2015--amity-sim-part-1,01:28:00,2.000,1,1,Tris taunted by Jeanine: Jeanine's voice placed in the ceiling matching her POV; Tris dives through glass and falls into a 3D-overhead sim of a collapsing city with debris and explosions all around.
126,Insurgent,2015,insurgent-2015,Amity Sim — part 2 (Good Tris vs Evil Tris),insurgent-2015--amity-sim-part-2,01:38:00,2.000,1,1,"Concluding ~10 minutes after part 1: Evil Tris jumps through glass, slams Good Tris through walls; Matrix-style superhuman battle through walls and floors of the collapsing city."
127,Old,2021,old-2021,Beach surf and 360° swirling dialogue,old-2021--beach-swirling-dialogue,,2.000,1,1,Crashing waves and surf all around; dialogue swirls 360° as a character turns to listen to people talking — also exposes any speaker timbre-matching issues.
128,Old,2021,old-2021,Cave complex — water dripping,old-2021--cave-water-dripping,,2.000,1,1,Water drips from overhead in the cave complex — Atmos used for vertical ambience.
129,Old,2021,old-2021,Hotel lobby Muzak,old-2021--hotel-lobby-muzak,,2.000,1,1,Hotel lobby Muzak pumps out of the ceiling speakers as if walking through the hotel.
130,San Andreas,2015,san-andreas,Restaurant Destruction,san-andreas--restaurant-destruction,00:32:00,2.000,1,1,"Earthquake sequence cutting between restaurant, Caltech offices and a San Francisco office building/garage collapse; height channels carry falling debris, groaning girders and helicopter blades; ends with a chunk of building striking the helicopter, spinning the soundfield."
131,Scott Pilgrim vs. the World,2010,scott-pilgrim-vs-the-world,Battle of the bands vs. Katayanagi Twins,scott-pilgrim-vs-the-world--battle-of-bands-katayanagi-twins,,2.000,1,1,New Atmos remix is loud and bold — battle between Sex Bob-Omb and the Katayanagi Twins reveals nuances and details that were buried in the original surround mix's subwoofer assault.
132,Star Wars: Episode V — The Empire Strikes Back,1980,star-wars-the-empire-strikes-back,Battle of Hoth (AT-AT walkers),star-wars-the-empire-strikes-back--battle-of-hoth,,2.000,1,1,"Hoth blizzard whips wind and snow around the room; mighty AT-AT walker foot stomps deliver deep, powerful bass."
133,Star Wars: Episode V — The Empire Strikes Back,1980,star-wars-the-empire-strikes-back,Dagobah swamp,star-wars-the-empire-strikes-back--dagobah-swamp,,2.000,1,1,"Immersive jungle ambience with creature noises and rustling leaves, plus a brief rainstorm that showers the room."
134,Star Wars: Episode V — The Empire Strikes Back,1980,star-wars-the-empire-strikes-back,Opening — probe droids,star-wars-the-empire-strikes-back--opening-probe-droids,,2.000,1,1,Probe droids launched from the Star Destroyer whiz across the ceiling right from the film's start.
135,The Gunman,2015,the-gunman,The Country House Ambush,the-gunman--country-house-ambush,00:57:00,2.000,1,1,"Chapter 11, ~7-minute attack on Felix, Terrier and Annie; shattering glass, splintering wood and falling brass placed precisely, culminating in a bathroom inferno that uses height channels to billow fire overhead and across the room."
136,The Super Mario Bros. Movie,2023,the-super-mario-bros-movie,Portal to the Mushroom Kingdom,the-super-mario-bros-movie--portal-to-mushroom-kingdom,00:15:00,2.000,1,1,"Subtle suspense opens into a swirling-heights, deep-bass transportation sequence; on arrival the soundstage opens up wide and airy."
137,Prey,2022,prey-2022,Bear fight,prey-2022--bear-fight,00:48:38,1.973,1,1,OP: bear fight scene at 48:38.
138,Dune: Part Two,2024,dune-part-two,Launch the Atomics,dune-part-two--launch-the-atomics,02:13:00,1.938,1,1,Around 2h 13min: a large explosion and ensuing battle; sound dances throughout the different speakers and places the listener in the middle of the action.
139,Furiosa: A Mad Max Saga,2024,furiosa-a-mad-max-saga,Opening woods,furiosa-a-mad-max-saga--opening-woods,,1.938,1,1,Opening: placed in the woods with insects and birds flying all around using every speaker; height speakers send small wildlife sounds across the room. Author notes the Atmos mix is much cleaner on Kaleidescape/Blu-ray than the Max stream.
140,Twisters,2024,twisters-2024,Opening tornado chase,twisters-2024--opening-tornado-chase,,1.938,1,1,Opening scene: team chases a massive tornado; bed-layer channels carry the whipping wind while Atmos overheads handle rain and effects in the distance above.
141,Edge of Tomorrow,2014,edge-of-tomorrow,Opening sequence (LFE demo),edge-of-tomorrow--opening-scene,00:00:00,1.917,2,2,Opening sequence at 0:30 — had author reach for the remote as the whole house shook from the LFE.
142,Guardians of the Galaxy Vol. 2,2017,guardians-of-the-galaxy-vol-2,Opening — Groot dance and 'tape' battle,guardians-of-the-galaxy-vol-2--opening-groot-battle,00:01:40,1.870,1,1,"Whole intro with Groot dancing while the team fights a giant alien: music, explosions, lasers, swords; later Peter flies speaker-to-speaker asking each teammate if they have tape — pure localization demo."
143,Skyscraper,2018,skyscraper,Burning building scaffolding crack,skyscraper--burning-building-scaffolding,00:55:00,1.870,1,1,Kids on a metal scaffolding bridge inside the burning building: a brief silence breaks as the ceiling literally cracks and breaks directly above the listener — only sound at that moment.
144,Star Wars: Episode VII — The Force Awakens,2015,star-wars-the-force-awakens,Han Solo discovers them — grate scene,star-wars-the-force-awakens--han-solo-grate-scene,,1.870,1,1,"Han Solo's freighter finds the Falcon: while they hide in a hole, Han literally rips a grate off the floor (their ceiling) — author calls out this overhead localization as a standout demo moment."
145,The Hobbit: An Unexpected Journey,2012,the-hobbit-an-unexpected-journey,Dwarves' dinner at Bilbo's,the-hobbit-an-unexpected-journey--dwarves-dinner-at-bilbos,00:22:14,1.870,1,1,"Opening dinner with the dwarves crashing Bilbo's home: at the original Dolby Atmos premiere, author leaned forward twice telling people in his theater to be quiet — extreme localization made it sound like real people in the room."
146,The Hobbit: An Unexpected Journey,2012,the-hobbit-an-unexpected-journey,Troll scene,the-hobbit-an-unexpected-journey--troll-scene,01:00:00,1.870,1,1,About an hour in: trolls talk directly overhead as if the listener is a hobbit and they're towering above — strong localization in the height channels.
147,Top Gun: Maverick,2022,top-gun-maverick,Flight sequence at 19m,top-gun-maverick--flight-at-19m,00:19:00,1.870,1,1,~2:15 flying sequence around the 19-min mark: subtle voices showing off the centre channel; author notes it's not heavy on top effects but still strong.
148,Wonka,2023,wonka-2023,Giraffe scene,wonka-2023--giraffe-scene,01:26:45,1.870,1,1,Mr. Bean (Rowan Atkinson) opens the door and a giraffe — much taller than him — snorts and makes noises right above the listener with strong overhead placement.
149,Abigail,2024,abigail-2024,Doors crash down sealing them in,abigail-2024--doors-crash-down,,1.858,1,1,OP: 'they come to the room and find themselves locked in and all the doors come crashing down around to seal them in'.
150,Terminator Genisys,2015,terminator-genisys,Terminator on top of the school bus,terminator-genisys--school-bus-roof,,1.858,1,1,OP: 'they are in a school bus and bad terminator walks on top of the bus — you can hear the ceiling denting in above you'.
151,Avengers: Infinity War,2018,avengers-infinity-war,Wakanda battle ground,avengers-infinity-war--wakanda-battle,,1.842,1,1,Wakanda battle ground.
152,Guardians of the Galaxy Vol. 3,2023,guardians-of-the-galaxy-vol-3,Hallway fight sequence,guardians-of-the-galaxy-vol-3--hallway-fight,,1.842,1,1,Hallway fight sequence from Guardians of the Galaxy Vol. 3.
153,How to Train Your Dragon,2010,how-to-train-your-dragon,First successful flight with Toothless,how-to-train-your-dragon--first-flight-toothless,,1.842,1,1,First successful flight with Toothless.
154,Star Wars: A New Hope,1977,star-wars-a-new-hope,Literal beginning (4K Atmos),star-wars-a-new-hope--opening,,1.842,1,1,The literal beginning of Star Wars: A New Hope (4K release with Atmos).
155,The Batman,2022,the-batman,Rainy subway introduction to Batman,the-batman--rainy-subway-introduction,,1.824,1,1,Rainy subway introduction to Batman — great for just rain falling above you.
156,Avengers: Infinity War,2018,avengers-infinity-war,Thor arrives in Wakanda,avengers-infinity-war--thor-arrives-wakanda,,1.795,1,1,Thor arriving in Wakanda — a great surround moment.
157,The Lord of the Rings: The Fellowship of the Ring,2001,the-lord-of-the-rings-the-fellowship-of-the-ring,Watcher in the Water,the-lord-of-the-rings-the-fellowship-of-the-ring--watcher-in-the-water,,1.784,1,1,Fellowship of the Ring - Watcher in the Water scene.
158,Spider-Man: Into the Spider-Verse,2018,spider-man-into-the-spider-verse,Graffiti scene,spider-man-into-the-spider-verse--graffiti-scene,,1.773,1,1,Graffiti scene — different music parts coming from every direction yet distinct; one of the best Atmos demos.
159,Tron: Ares,2025,tron-ares,Intro to the digital space,tron-ares--intro-to-digital-space,,1.749,1,1,Mad-Max-like intro to the digital space — good use of 3D audio and the NIN soundtrack bust in.
160,The Lord of the Rings: The Fellowship of the Ring,2001,the-lord-of-the-rings-the-fellowship-of-the-ring,Prologue — Sauron explodes,the-lord-of-the-rings-the-fellowship-of-the-ring--sauron-explodes-prologue,,1.708,1,1,Fellowship of the Ring Prologue — Sauron explodes scene.
161,Tron: Legacy,2010,tron-legacy,Fight in Castor's club,tron-legacy--nightclub,01:08:00,1.683,2,2,"Same as bike race — Master Audio up-mixes beautifully, very powerful LFE."
162,Blade Runner 2049,2017,blade-runner-2049,Debrief scene (near beginning),blade-runner-2049--debrief-with-joshi,,1.677,1,1,Debrief scene near the beginning of the film (K reporting to Lt. Joshi).
163,Ready Player One,2018,ready-player-one,Room 237 — axe swings above,ready-player-one--room-237-axe-swings,,1.677,1,1,"H goes into room 237 with the naked zombie, hits his head and enters the maze — all axe swings clearly above."
164,A Star Is Born,2018,a-star-is-born-2018,Always Remember Us This Way,a-star-is-born-2018--always-remember-us-this-way,,1.656,1,1,"Lady Gaga at the piano: subtle nuances — fingers on keys, lips parting — over a wide female vocal range; great test for music in a dedicated theater."
165,Furiosa: A Mad Max Saga,2024,furiosa-a-mad-max-saga,Ambush at the Bullet Farm,furiosa-a-mad-max-saga--ambush-at-the-bullet-farm,,1.656,1,1,"High-energy ambush with explosions, sniper rifle ricochets, a flamethrower across the truck cab with deep bass, then the truck hits a tower (THX-style bass drop). Standout overhead moment: gun shells roll across the height channels and drop down onto the platform."
166,The Greatest Showman,2017,the-greatest-showman,Never Enough,the-greatest-showman--never-enough,,1.656,1,1,Subtle piano-driven build into Jenny Lind's soaring female vocal — chill-bump moment as the volume of sound in the room peaks.
167,Godzilla Minus One,2023,godzilla-minus-one,First 5 minutes — rumble from above,godzilla-minus-one--opening-rumble,00:00:00,1.641,1,1,First 5 minutes — Godzilla's rumble from above as he sniffs the airplane the main character is hiding in.
168,The Lord of the Rings: The Fellowship of the Ring,2001,the-lord-of-the-rings-the-fellowship-of-the-ring,Gandalf scolds Bilbo,the-lord-of-the-rings-the-fellowship-of-the-ring--gandalf-scolds-bilbo,,1.621,1,1,Gandalf scolding Bilbo at Bag End: rafters creaking and Gandalf's voice envelops the room.
169,Shazam!,2019,shazam,Sin Voice,shazam--sin-voice,00:26:14,1.599,1,1,'Sin Voice' scene — short and intense.
170,The Cloverfield Paradox,2018,the-cloverfield-paradox,Earth Scene to End of Test Run Failure,the-cloverfield-paradox--earth-scene-test-failure,00:03:03,1.599,1,1,Earth scene through the end of the test run failure.
171,The Matrix Revolutions,2003,the-matrix-revolutions,Deus Ex Machina,the-matrix-revolutions--deus-ex-machina,01:39:35,1.599,1,1,Deus Ex Machina sequence.
172,Transformers,2007,transformers-2007,Opening battle with Blackout (helicopter),transformers-2007--opening-battle-blackout,,1.599,1,1,Opening battle with Blackout (helicopter) and subsequent desert battle.
173,Drive,2011,drive-2011,Helicopter overhead during car chase,drive-2011--helicopter-overhead-during-chase,,1.549,1,1,Scene during a car chase where a helicopter flies overhead — sounds like a chopper is going to land in the living room with ceiling speakers.
174,Iron Man 2,2010,iron-man-2,Skydiving intro — fireworks and stage landing,iron-man-2--skydiving-intro,,1.549,1,1,"Intro with fireworks as he is skydiving, and when he lands on the stage — really good experience."
175,John Wick: Chapter 4,2023,john-wick-chapter-4,Top-down fireshell shotgun building scene,john-wick-chapter-4--top-down-fireshell-scene,,1.549,1,1,"Scene where John runs through the building with the shotgun shooting fireshells, filmed from above — gorgeous on OLED."
176,Frozen 2,2019,frozen-2,Mid-film revelation — mix opens up,frozen-2--midfilm-revelation,,1.520,1,1,"First half is deliberately subdued; halfway through, when the character experiences a life-changing revelation, the mix opens right up — using sound design to add depth to the storytelling."
177,The Northman,2022,the-northman,Final fight,the-northman--final-fight,,1.520,1,1,The environment boiling while engrossing chants elevate the sound of clashing blades — author's 'go-to Atmos scene'.
178,Evil Dead Rise,2023,evil-dead-rise,Kid falls down in hole in garage,evil-dead-rise--kid-falls-in-hole,,1.486,1,1,When the kid falls down in the hole in the garage.
179,Fury,2014,fury-2014,Town square shelled,fury-2014--town-square-shelling,,1.486,1,1,When the town square is shelled.
180,Guardians of the Galaxy Vol. 3,2023,guardians-of-the-galaxy-vol-3,Last fight,guardians-of-the-galaxy-vol-3--last-fight,,1.486,1,1,The whole last fight has lots of really pronounced Atmos effects.
181,Guardians of the Galaxy Vol. 3,2023,guardians-of-the-galaxy-vol-3,Beginning — Rocket speaks above Nebula,guardians-of-the-galaxy-vol-3--rocket-above-nebula,,1.486,1,1,The beginning when Rocket speaks above Nebula — pronounced Atmos.
182,Jupiter Ascending,2015,jupiter-ascending,Abduction from the high-rise,jupiter-ascending--abduction-from-high-rise,,1.486,1,1,Scene where they come to abduct the girl from the high-rise building — non-stop panning left/right and front/back.
183,Sisu,2022,sisu-2022,Opening — airplanes fly over,sisu-2022--opening-airplanes,,1.486,1,1,Right in the beginning where all the airplanes fly over.
184,The Great Wall,2016,the-great-wall,Running through the tunnel,the-great-wall--running-through-tunnel,,1.486,1,1,Running through the tunnel.
185,The Predator,2018,the-predator-2018,Forest scene,the-predator-2018--forest-scene,,1.486,1,1,Extremely active height channels in the forest scene.
186,Thor: Love and Thunder,2022,thor-love-and-thunder,Beginning — Thor summons lightning,thor-love-and-thunder--beginning-lightning,,1.486,1,1,The fight at the beginning when he summons the lightning.
187,Thor: Love and Thunder,2022,thor-love-and-thunder,Throws the bike above his head,thor-love-and-thunder--throws-bike-overhead,,1.486,1,1,When he throws the bike above his head.
188,Pacific Rim,2013,pacific-rim,Final battle,pacific-rim--final-battle,,1.448,1,1,The final battle sequence.
189,The Hobbit: An Unexpected Journey,2012,the-hobbit-an-unexpected-journey,Dwarves sleeping (snoring),the-hobbit-an-unexpected-journey--dwarves-sleeping-snoring,,1.448,1,1,Saw it in theater with HFR and Atmos — heard 'someone' snoring behind him so vividly he turned to wake them up; it was the dwarves on screen.
190,Aliens,1986,aliens-1986,End credits chittering,aliens-1986--end-credits-chittering,,1.402,1,1,"At the very end of the credits, just as the end title music has faded out, a quiet slithery, chittering noise plays just over the listener's head."
191,American Psycho,2000,american-psycho,Bateman narration through height channels,american-psycho--narration-through-heights,,1.402,1,1,Patrick Bateman's voice narration throughout the film is played through the height channels.
192,Godzilla vs Kong,2021,godzilla-vs-kong,Neon city battle,godzilla-vs-kong--neon-city-battle,,1.402,1,1,Battle scene in the neon city — pretty visually spectacular.
193,Gravity,2013,gravity,Return to earth,gravity--return-to-earth,,1.402,1,1,Diamond Luxe Atmos version: the return-to-earth re-entry sequence — author's favorite alongside the ISS.
194,John Wick,2014,john-wick,Rain during Helen's funeral,john-wick--helen-funeral-rain,,1.402,1,1,"John Wick 1 4K UHD: rain falling during Helen's funeral — Atmos content is constant in that scene, useful for setting Atmos levels."
195,A Quiet Place Part II,2021,a-quiet-place-part-ii,"Creature jumps on roof, kids knock over oil lamp",a-quiet-place-part-ii--creature-on-roof,,1.347,1,1,Creature jumps on the roof and the kids knock over an oil lamp — convincing overhead sound.
196,Alita: Battle Angel,2019,alita-battle-angel,Opening — junkyard,alita-battle-angel--opening-junkyard,,1.347,1,1,Opening scene with him in the junkyard — great atmospheric from heights.
197,Apocalypse Now,1979,apocalypse-now,Walk into the jungle (quiet scene),apocalypse-now--jungle-walk,,1.347,1,1,Quiet scene where they get out of the boat and walk into the jungle; subtle jungle noises all around and above.
198,Cars,2006,cars,Opening race (first 10 minutes),cars--opening-race,00:00:00,1.347,1,1,"First race through the big crash — engine hum in the sub, crowd in surrounds, cars flying by on both sides."
199,Dune: Part Two,2024,dune-part-two,Stadium scene (Harkonnen gladiator arena),dune-part-two--harkonnen-stadium-fight,,1.347,1,1,The stadium scene in Dune Part 2.
200,Marrowbone,2017,marrowbone,Kid retrieves dice — ceiling creaks,marrowbone--dice-ceiling-creak,,1.347,1,1,The kid goes to retrieve dice and the ceiling starts to creak — convincing overhead sound.
201,Oblivion,2013,oblivion-2013,First 9 minutes,oblivion-2013--first-9-minutes,00:00:00,1.347,1,1,First 9 minutes of Oblivion.
202,War for the Planet of the Apes,2017,war-for-the-planet-of-the-apes,Climax helicopter flyover,war-for-the-planet-of-the-apes--climax-helicopter-flyover,,1.347,1,1,Climax: a helicopter flies toward the screen and really sounds like it's above you — first time author experienced overhead Atmos effect from Sonos Arc.
203,Den of Thieves,2018,den-of-thieves-2018,Final gunfight,den-of-thieves-2018--final-gunfight,02:02:45,1.332,1,1,"Not Atmos (5.1 only). End-of-movie gunfight: bad guys vs police, all guns ringing in the ears and surrounds — author rates it as comparable to the Heat gunfight scene."
204,Harry Potter and the Chamber of Secrets,2002,harry-potter-and-the-chamber-of-secrets,Cornish pixies in Defense Against the Dark Arts,harry-potter-and-the-chamber-of-secrets--cornish-pixies,00:35:53,1.332,1,1,"Lockhart releases Cornish pixies in the DADA class; little blue creatures fly all over carrying children up to the ceiling — sides/surrounds full of creature sounds, plus the falling skeleton's heights and low end."
205,Man of Steel,2013,man-of-steel,Smallville fight (Superman vs Zod),man-of-steel--smallville-fight,01:28:04,1.332,1,1,"Superman vs Zod destroys a small town: heights when Superman launches, sides/surrounds as they fly through cornfield, jets and helicopters coming in, guns firing down the road."
206,Star Wars: Episode III — Revenge of the Sith,2005,star-wars-revenge-of-the-sith,Opening space battle,star-wars-revenge-of-the-sith--opening-battle,00:01:51,1.332,1,1,"Anakin and Obi-Wan in the massive opening space battle: ships whizz by, laser blasters firing, explosions; 360° bubble of sound surrounds the listener."
207,A Quiet Place: Day One,2024,a-quiet-place-day-one,Military announcement stampede,a-quiet-place-day-one--military-announcement-stampede,00:15:43,1.321,1,1,Military announcement causes a stampede of alien creatures activating surrounds and overheads; a second stampede follows as a helicopter makes another announcement and stirs the creatures again.
208,Hacksaw Ridge,2016,hacksaw-ridge,Enemy fire scene,hacksaw-ridge--enemy-fire-scene,01:13:00,1.321,1,1,Full dynamics across the bed-layer speakers: enemy fire originates from the right side and right rear; height channels stay in the background here.
209,Smile 2,2024,smile-2,Ceiling seatbelt image,smile-2--ceiling-seatbelt-image,01:51:32,1.321,1,1,Actor looks up to the ceiling and is met with the image of herself strapped in a seatbelt — gruesome scene that pans audio back and forth from ceiling to screen.
210,The Great Wall,2016,the-great-wall,Arrows scene,the-great-wall--arrows-scene,00:52:40,1.321,1,1,Arrows scream past the ears in side and rear surrounds; crumbling rocks from above after the exploding arrows hit.
211,Wolf Man,2025,wolf-man-2025,Blake's heightened hearing / stomping upstairs (clip 4),wolf-man-2025--blakes-heightened-hearing,,1.321,1,1,3:28 clip: Blake's hearing is heightened and he hears stomping coming from upstairs — author calls this 'over the top Atmos'.
212,Wolf Man,2025,wolf-man-2025,Creaking trees in the woods (clip 2),wolf-man-2025--creaking-trees-woods,,1.321,1,1,2:38 clip: creaking trees and movement in the woods using the height and surround speakers.
213,Wolf Man,2025,wolf-man-2025,Left surround only (clip 3),wolf-man-2025--left-surround-only,00:11:00,1.321,1,1,41-second clip: described as crazy use of the left surround only.
214,Alien: Romulus,2024,alien-romulus,Facehugger corridor sneak,alien-romulus--facehugger-corridor-sneak,,1.275,1,1,Sneaking through the corridor infested with Parasitoids/Facehuggers — in cinema author thought there was something crawling on the ceiling. The 4K Blu-Ray reproduces this well at home.
215,Bad Boys II,2003,bad-boys-ii,Haitian trap house gun fight,bad-boys-ii--haitian-trap-house-gunfight,00:48:05,1.275,1,1,Haitian trap house gun fight.
216,Blade Runner 2049,2017,blade-runner-2049,End credits,blade-runner-2049--end-credits,,1.275,1,1,Blade Runner 2049 end credits.
217,Devotion,2022,devotion-2022,Attack on Sinuiju,devotion-2022--attack-on-sinuiju,01:13:15,1.275,1,1,Attack on Sinuiju.
218,First Man,2018,first-man,Gemini 8 launch,first-man--gemini-8-launch,00:45:00,1.275,1,1,The Gemini 8 launch scene — starts at about 45 minutes in.
219,Gemini Man,2019,gemini-man,Chase scene,gemini-man--chase-scene,,1.275,1,1,Underrated chase scene; the movie is also 60fps which adds intensity.
220,Godzilla Minus One,2023,godzilla-minus-one,Second altercation with the King,godzilla-minus-one--second-altercation,00:37:15,1.275,1,1,Second altercation with the King (Godzilla).
221,Godzilla x Kong: The New Empire,2024,godzilla-x-kong-the-new-empire,Fight in Cairo,godzilla-x-kong-the-new-empire--cairo-fight,01:28:04,1.275,1,1,Fight in Cairo.
222,Greyhound,2020,greyhound,Wolfpack attacks the convoy,greyhound--wolfpack-attack,00:31:00,1.275,1,1,The Wolfpack attacks the convoy.
223,Minions,2015,minions-2015,Arrival at Villain-Con — overhead announcements,minions-2015--villain-con-announcements,,1.275,1,1,When they arrive at Villain-Con: announcements play overhead — author always looks around the room confused for a second.
224,Mission: Impossible - The Final Reckoning,2025,mission-impossible-the-final-reckoning,Ethan Hunt conversation with the entity in the pod,mission-impossible-the-final-reckoning--entity-pod-conversation,,1.275,1,1,Scene where Ethan Hunt has the conversation with the entity in the pod — 'sounds insanely good'.
225,No Time to Die,2021,no-time-to-die,Helicopter scene (~1:50),no-time-to-die--helicopter-at-1h50m,01:50:00,1.275,1,1,Helicopter flying around you — great demo for Atmos immersion.
226,Oblivion,2013,oblivion-2013,Radio comms with the control room,oblivion-2013--radio-comms-control-room,,1.275,1,1,Any time Tom Cruise radios to the woman in the control room.
227,Spider-Man: Into the Spider-Verse,2018,spider-man-into-the-spider-verse,First fight (bombs everywhere),spider-man-into-the-spider-verse--first-fight-bombs,,1.275,1,1,Bombs going off all over the place in the first fight scene.
228,The King's Man,2021,the-kings-man,Killing of Gregori Rasputin,the-kings-man--killing-of-rasputin,00:47:30,1.275,1,1,Killing of Gregori Rasputin — sync to 1812 Overture is very nicely done.
229,The Matrix Revolutions,2003,the-matrix-revolutions,Battle of Zion (1h-1h22 chunk),the-matrix-revolutions--battle-of-zion,01:00:00,1.275,1,1,From the 1 hr mark and the next 22 minutes — author notes ironically that a 22-minute chunk obviously has more atmospheric sound but still calls it 'the best Atmos demo ever'.
230,The Rip,2025,the-rip-2025,Power kill scene,the-rip-2025--power-killed,,1.275,1,1,Second scene: right when they kill the power.
231,Thor: Ragnarok,2017,thor-ragnarok,Roller coaster to meet Grandmaster — overhead announcer,thor-ragnarok--roller-coaster-announcer,,1.275,1,1,Thor on the roller coaster to meet Jeff Goldblum: female announcer narrates the events to Thor straight out of the ceiling speakers.
232,Tron: Ares,2025,tron-ares,Tops going crazy ~55 min in,tron-ares--55-min-tops-scene,00:55:00,1.275,1,1,About 55 minutes in — the tops are going crazy. Author calls this demo material.
233,Twisters,2024,twisters-2024,EF5 Tornado in El Reno,twisters-2024--ef5-el-reno,01:35:03,1.275,1,1,EF5 Tornado in El Reno — unique sounds.
234,Ambulance,2022,ambulance-2022,Parking garage chase,ambulance-2022--parking-garage-chase,01:00:14,1.265,1,1,"Bay-style police chase: brief helicopter overhead, gunfire, tension-building music, engine sounds, squealing tires, cars whizzing by; ambulance explodes through obstacles in the parking garage."
235,Jupiter Ascending,2015,jupiter-ascending,Roller-skate chase through Chicago,jupiter-ascending--roller-skate-chase,00:25:10,1.265,1,1,"Channing Tatum on flying roller skates being chased and shot at by alien ships; blasters, explosions, buildings exploding around the city."
236,Mission Impossible: Rogue Nation,2015,mission-impossible-rogue-nation,Casablanca chase,mission-impossible-rogue-nation--casablanca-chase,01:12:14,1.265,1,1,"BMW chase with Ethan and Benji vs. motorcycles — gunshots, squealing tires; BMW wrecks with a heavy impact; transition to Ethan on motorcycle through highway traffic at insane speed."
237,Moonfall,2022,moonfall,Shuttle launch and gravity wave,moonfall--shuttle-launch-and-gravity-wave,00:59:33,1.265,1,1,"Shuttle launch from the space station as the moon's gravity decreases, followed by a helicopter taking off into the moon-induced gravity wave."
238,Terminator: Dark Fate,2019,terminator-dark-fate,Factory fight and highway chase,terminator-dark-fate--factory-fight-and-chase,00:13:34,1.265,1,1,"Factory fight with sledgehammer impacts on the robot, then highway chase: engine sounds, squealing tires, cars whizzing past; the robot's industrial vehicle hits cars and crashes through barriers with strong impact."
239,The Incredible Hulk,2008,the-incredible-hulk,Hulk vs. military,the-incredible-hulk--hulk-vs-military,00:49:44,1.265,1,1,"DTS:X (not Atmos). Hulk vs military vehicles: machine guns, .50 cal, sonic weapons, attack helicopter gunship; Hulk-smash impacts, roars and thrown vehicles — sides, surrounds and heights all active throughout."
240,The Matrix Resurrections,2021,the-matrix-resurrections,Opening scene,the-matrix-resurrections--opening-scene,00:00:00,1.265,1,1,"Recreation of the original Matrix opening: silence builds tension, door slams open, chase across buildings with gunfire, jump from building with sliding-down-a-light spark trail."
241,1917,2019,1917,Bombs hitting the ground / earth splashes,1917--bombs-earth-splashes,,1.173,1,1,Bombs hit the ground causing splashes of earth to rain down a few seconds after the explosion — sounds like large rocks falling on the roof in Atmos.
242,Aladdin,2019,aladdin-2019,Escape from the Cave of Wonders,aladdin-2019--escape-from-cave-of-wonders,,1.173,1,1,Live-action Aladdin escape from the Cave of Wonders (including the singing part).
243,All Quiet on the Western Front,2022,all-quiet-on-the-western-front-2022,Bunker bombing,all-quiet-on-the-western-front-2022--bunker-bombing,,1.173,1,1,Enemy starts bombing the bunker; soldiers hide in a small cavity. Creaking and crackling sounds around and above the listener from the outside explosions.
244,Apocalypse Now,1979,apocalypse-now,Ride of the Valkyries,apocalypse-now--ride-of-the-valkyries,,1.173,1,1,Flight of the Valkyries scene — chef's kiss.
